session_id,acquisition_cost,time_to_value_seconds,retention_d30,funnel_stage,effort_score,friction_type,churn_reason
SESS_0117,32.607961176149175,95.17395651048645,0,Onboarding,3,Pricing,Hard to use
SESS_0118,23.41913213444288,321.7658563401793,0,Activation,7,Pricing,Found alternative
SESS_0119,14.090224069210315,193.96697695071128,0,Signup,1,Pricing,Too expensive
SESS_0120,36.44244008591045,80.8823932490686,0,Signup,2,Pricing,Hard to use
SESS_0121,10.815709177168696,272.21296206293255,0,Activation,5,Cognitive,Too expensive
SESS_0122,28.717609352759563,221.8065849801597,0,Signup,7,Cognitive,N/A
SESS_0123,44.61932214686727,346.2340445307228,0,Signup,2,Cognitive,Found alternative
SESS_0124,13.520641220826468,196.0453224319019,1,Signup,7,Pricing,N/A
SESS_0125,23.63001953923576,563.3131715452214,0,Onboarding,10,Cognitive,N/A
SESS_0126,22.3240086343,471.5941542150213,1,Signup,3,Cognitive,Found alternative
SESS_0127,24.27985341667112,70.18084125502622,0,Landing,4,Cognitive,Hard to use
SESS_0128,46.46641444746094,298.50576949129965,0,Paid,9,Pricing,Too expensive
SESS_0129,17.04076636883432,159.1297168929757,0,Onboarding,10,Pricing,Found alternative
SESS_0130,46.44166572281043,105.93169040313491,1,Signup,10,Cognitive,Found alternative
SESS_0131,21.289192971379144,84.62063132256118,0,Landing,2,Pricing,Found alternative
SESS_0132,23.14792843080518,164.4183148920091,1,Signup,4,Cognitive,Too expensive
SESS_0133,7.363624675297627,178.90130613425433,1,Onboarding,9,Cognitive,Too expensive
SESS_0134,38.94336431119856,435.4389080531932,0,Onboarding,10,Cognitive,Found alternative
SESS_0135,7.529988361422067,598.722783244477,0,Paid,3,None,Too expensive
SESS_0136,5.465404895218512,214.2691132358742,0,Onboarding,2,Pricing,Hard to use
SESS_0137,37.11562911651471,496.8844511856919,1,Signup,6,Pricing,Too expensive
SESS_0138,24.23209570862734,97.35266933617932,0,Onboarding,2,None,Too expensive
SESS_0139,37.75276588043004,329.77474100564933,0,Landing,9,Cognitive,Found alternative
SESS_0140,41.56629054483602,277.8569328553914,0,Landing,9,Pricing,Found alternative
SESS_0141,5.974099231184096,323.12533739484326,1,Paid,1,Technical,Hard to use
SESS_0142,21.31684314010971,566.6253723762072,0,Landing,10,Cognitive,Too expensive
SESS_0143,14.290565111112524,140.67027708451502,1,Signup,2,Pricing,Too expensive
SESS_0144,15.872904758486198,542.121919141538,0,Landing,8,Cognitive,Bugs
SESS_0145,42.27793452544171,263.58913357729307,0,Onboarding,3,Cognitive,Bugs
SESS_0146,5.223427755724758,382.97271650891923,0,Onboarding,2,Pricing,N/A
SESS_0147,41.7590881383506,526.634459454048,0,Onboarding,7,Cognitive,Hard to use
SESS_0148,22.775967298345762,100.37405913251207,1,Activation,7,Cognitive,N/A
SESS_0149,12.00043637623685,122.07030591396652,1,Onboarding,3,Cognitive,Too expensive
SESS_0150,20.578781613096176,148.09700612838077,1,Signup,2,Pricing,Too expensive
SESS_0151,8.576958076088935,385.41839753861166,1,Landing,6,Technical,Found alternative
SESS_0152,10.350353111938306,52.26241140254251,0,Landing,10,None,Bugs
SESS_0153,32.021945428887534,394.5679503968232,0,Signup,4,Cognitive,Too expensive
SESS_0154,47.32698629492491,424.8740809395438,0,Landing,2,Pricing,Found alternative
SESS_0155,22.256473832765227,494.30089220323276,1,Onboarding,6,Cognitive,Hard to use
SESS_0156,46.81699510582132,546.469620301741,0,Activation,9,Cognitive,Found alternative
SESS_0157,32.71699002831386,71.42316457693084,0,Paid,9,Cognitive,Too expensive
SESS_0158,43.73665275102411,235.58710235064223,0,Landing,7,Cognitive,Too expensive
SESS_0159,49.98462086274996,463.2910434810704,1,Landing,7,Cognitive,Found alternative
SESS_0160,38.75639546592265,537.9182880691318,0,Landing,5,None,N/A
SESS_0161,6.5778871372034775,595.5211498772409,1,Onboarding,4,Technical,Bugs
SESS_0162,10.21844502644141,363.3559721766292,0,Signup,4,Cognitive,Too expensive
SESS_0163,31.062842500888546,385.6509635852042,0,Signup,2,Cognitive,Found alternative
SESS_0164,18.30906165381717,347.7023273424847,0,Landing,1,None,Bugs
SESS_0165,39.949183364922625,373.5993557139475,1,Onboarding,3,Technical,Too expensive
SESS_0166,28.28936497186217,219.89361968514794,1,Onboarding,7,Pricing,Hard to use
SESS_0167,47.74916782522929,148.09666115594467,0,Landing,6,Cognitive,Hard to use
SESS_0168,12.158281646872162,523.972365227009,0,Landing,8,None,Hard to use
SESS_0169,18.58591485013891,92.60032986893069,1,Activation,2,Cognitive,Hard to use
SESS_0170,27.882772692000298,269.2632359676241,1,Signup,10,Technical,Too expensive
SESS_0171,45.51039417612583,244.97418915675607,1,Onboarding,7,None,Found alternative
SESS_0172,34.269637934338576,324.22509698825525,1,Onboarding,9,Cognitive,Found alternative
SESS_0173,30.745847228704587,350.44203906536205,1,Signup,1,Cognitive,Hard to use
SESS_0174,39.591147958986724,597.252574477073,1,Landing,5,Cognitive,Too expensive
SESS_0175,45.93919604120547,598.6439323601825,0,Landing,2,None,Hard to use
SESS_0176,16.059160234735867,411.0396232741817,0,Onboarding,3,Technical,N/A
SESS_0177,35.304624995488474,545.9087512355372,0,Landing,8,Cognitive,Bugs
SESS_0178,19.91323607435057,76.16922237177829,0,Landing,1,Pricing,Too expensive
SESS_0179,9.407709237756988,460.57442649671367,0,Signup,9,Technical,N/A
SESS_0180,17.24883166732922,340.9901738173941,1,Landing,1,Cognitive,Too expensive
SESS_0181,28.43978478019304,469.37621412365974,1,Landing,6,Technical,Too expensive
SESS_0182,26.34856991469794,587.9910638737423,1,Activation,9,None,Hard to use
SESS_0183,34.75733888794781,288.0283601923441,1,Signup,9,Technical,Hard to use
SESS_0184,29.98971160537942,466.30574703744827,0,Signup,3,Pricing,Hard to use
SESS_0185,39.334678417153725,570.6955650084121,0,Signup,2,Pricing,Found alternative
SESS_0186,27.05743786948059,214.53709613531956,0,Landing,6,Pricing,Too expensive
SESS_0187,18.789528618882947,158.76681404442124,0,Landing,6,Pricing,Bugs
SESS_0188,12.106177742328661,469.6680035893049,0,Paid,9,Pricing,Found alternative
SESS_0189,19.54480350485008,119.91326662389223,0,Onboarding,8,Technical,Too expensive
SESS_0190,37.83024948851561,292.37593903093205,0,Onboarding,2,Technical,Bugs
SESS_0191,47.85892033675075,172.54123383771676,0,Landing,9,Cognitive,Hard to use
SESS_0192,32.28138616364251,267.27095775858254,0,Onboarding,8,Technical,Found alternative
SESS_0193,49.550434917701935,525.515600594825,0,Landing,3,Cognitive,Bugs
SESS_0194,7.645865203204478,398.67777291260796,0,Activation,4,Cognitive,Hard to use
SESS_0195,14.088832165289253,451.1734605446238,1,Onboarding,2,Technical,Found alternative
SESS_0196,48.100904676711004,388.24068383342654,0,Landing,3,Technical,Found alternative
SESS_0197,19.753257780480297,100.48829111790042,0,Landing,1,Cognitive,Hard to use
SESS_0198,6.1424286417341145,189.6159018484646,0,Landing,9,Pricing,Bugs
SESS_0199,35.54109242613012,385.0097062198123,0,Activation,10,None,Hard to use
SESS_0200,22.528719661862404,234.45414593174024,1,Landing,2,Cognitive,Hard to use
SESS_0201,38.25681891032782,388.55943902191746,0,Onboarding,1,Cognitive,Bugs
SESS_0202,20.58896294333273,99.21336292368031,1,Signup,9,Pricing,Too expensive
SESS_0203,36.93671299557962,153.01367349085805,1,Signup,7,Pricing,Found alternative
SESS_0204,9.024737387959052,39.558726339068386,0,Landing,2,Cognitive,Found alternative
SESS_0205,39.983252619646905,286.87094936382977,0,Landing,1,Cognitive,Found alternative
SESS_0206,45.071594647864444,466.82978991647207,0,Landing,2,Technical,Found alternative
SESS_0207,22.040315541474058,453.72706321440626,1,Activation,3,Pricing,Too expensive
SESS_0208,11.407704739840767,210.24409167129303,0,Onboarding,1,Cognitive,Bugs
SESS_0209,19.820064246549364,48.111665786827075,0,Landing,7,Pricing,Too expensive
SESS_0210,21.49141138686925,396.4626561293163,1,Landing,1,Pricing,Too expensive
SESS_0211,5.050318802954424,386.4916480218637,0,Signup,8,Cognitive,Hard to use
SESS_0212,44.45903001605897,73.45642539689538,1,Onboarding,5,None,N/A
SESS_0213,49.422485563685534,61.77427446134172,0,Signup,6,Pricing,Too expensive
SESS_0214,47.144580919106836,293.1262641262308,0,Landing,1,Cognitive,Found alternative
SESS_0215,37.59463401162696,324.5266919077228,0,Signup,4,Pricing,Bugs
SESS_0216,13.52238911416894,227.29295796599584,0,Landing,9,Cognitive,Too expensive
SESS_0217,22.57352361431836,92.35261907579516,1,Signup,4,Technical,N/A
SESS_0218,25.423258102325786,439.5381846434058,0,Onboarding,7,None,Found alternative
SESS_0219,39.61479099898435,566.0862279065459,0,Landing,4,Cognitive,Hard to use
SESS_0220,38.80840758648982,125.52938729967794,1,Signup,4,Cognitive,Bugs
SESS_0221,44.44641038078412,120.3624237732774,1,Signup,9,Cognitive,Hard to use
SESS_0222,19.639908935142426,539.9826912376952,0,Signup,5,Pricing,Hard to use
SESS_0223,23.32359588917657,454.81650736955334,0,Onboarding,5,Pricing,Found alternative
SESS_0224,26.900765839926557,288.3753169129445,1,Signup,1,Technical,Too expensive
SESS_0225,28.945618228616013,140.2879683025481,0,Signup,8,Cognitive,Found alternative
SESS_0226,7.373158385010515,520.4088912644179,0,Landing,3,Cognitive,Found alternative
SESS_0227,38.73114842223326,404.41434856757513,0,Landing,4,Technical,Found alternative
SESS_0228,15.796954231565758,508.0364478709323,0,Activation,9,Cognitive,Hard to use
SESS_0229,18.65401740195771,226.68099369557953,0,Signup,3,None,Found alternative
SESS_0230,5.988456651698818,63.99267302172951,1,Onboarding,4,Cognitive,Found alternative
SESS_0231,23.273296206793912,542.1920127839059,1,Landing,9,Cognitive,Too expensive
SESS_0232,42.71424095718345,381.4076895583393,1,Onboarding,6,Pricing,Found alternative
SESS_0233,30.591901285885875,104.90438879405362,0,Landing,4,Cognitive,Too expensive
SESS_0234,25.26117709053082,239.39114241692704,0,Landing,10,Cognitive,Too expensive
SESS_0235,41.99939926595553,114.2597863099242,0,Signup,6,Pricing,Bugs
SESS_0236,27.38784260294034,56.9979064110477,1,Onboarding,8,Cognitive,Found alternative
SESS_0237,42.53646513659685,334.1753816451787,0,Landing,2,Cognitive,Found alternative
SESS_0238,18.884806288865477,551.4328417939039,1,Paid,7,None,Hard to use
SESS_0239,22.7163212293057,322.7125934024445,0,Signup,1,Technical,Too expensive
SESS_0240,29.009997686415208,566.6441195708014,0,Signup,5,Cognitive,Bugs
SESS_0241,30.129558898772164,103.71956356729333,1,Onboarding,9,Cognitive,Too expensive
SESS_0242,46.265135402480425,516.2328477235094,1,Activation,6,Cognitive,Found alternative
SESS_0243,40.09036716355475,172.82259048899928,0,Landing,9,Pricing,Too expensive
SESS_0244,12.850682436769358,148.50688432190873,0,Landing,1,Pricing,Too expensive
SESS_0245,33.877794634944024,429.6137261206605,0,Activation,8,Pricing,Found alternative
SESS_0246,18.398665628470866,444.25066521606453,0,Landing,10,Cognitive,N/A
SESS_0247,25.772995313048945,431.4935381814662,1,Landing,2,Technical,Found alternative
SESS_0248,13.60167664221475,129.26661041649874,0,Landing,1,Cognitive,Found alternative
SESS_0249,41.91519595560676,325.74015382639874,0,Signup,5,Cognitive,Found alternative
SESS_0250,24.90521973062595,322.30825441390425,1,Onboarding,7,None,Found alternative
SESS_0251,14.03728124827421,97.45751800709999,0,Landing,5,Pricing,Found alternative
SESS_0252,48.275304928062695,197.35436863322286,1,Landing,5,Cognitive,Hard to use
SESS_0253,12.45917836677597,31.426051162365727,1,Landing,7,Cognitive,Too expensive
SESS_0254,43.05041715311755,336.3956699489766,1,Landing,5,Cognitive,Too expensive
SESS_0255,49.801478778716856,464.63677968286214,1,Landing,8,Cognitive,N/A
SESS_0256,31.863573257167275,64.62870495539855,0,Landing,4,Technical,Hard to use
SESS_0257,49.35473550543432,414.9735293587552,0,Paid,7,Pricing,Hard to use
SESS_0258,6.223287760731012,425.3771029667977,0,Landing,1,Pricing,Too expensive
SESS_0259,42.69366017885074,422.9645745632736,0,Activation,4,Pricing,Hard to use
SESS_0260,10.38841889227228,598.6951494843521,1,Onboarding,1,Pricing,Too expensive
SESS_0261,28.23963546717033,562.414930118067,0,Signup,2,Pricing,Too expensive
SESS_0262,40.20119275397489,504.1140452971977,0,Signup,7,Cognitive,Found alternative
SESS_0263,44.492218621267305,435.5399867252434,0,Signup,4,Cognitive,Bugs
SESS_0264,17.267226410079797,93.78545347835856,1,Signup,9,Cognitive,Bugs
SESS_0265,21.340069499831017,155.14630185982375,0,Signup,9,None,Too expensive
SESS_0266,31.792352436368123,511.58876686469955,0,Onboarding,3,Cognitive,Too expensive
SESS_0267,45.57817490875424,310.5899057498131,0,Landing,6,Pricing,Found alternative
SESS_0268,44.95158435952652,520.9630445184458,1,Onboarding,3,None,Hard to use
SESS_0269,43.10216519178318,269.05028978821565,1,Landing,7,Pricing,N/A
SESS_0270,30.420920277232533,236.23786706424917,0,Onboarding,2,Pricing,Hard to use
SESS_0271,16.914323173582737,528.5702031410103,0,Activation,1,Pricing,N/A
SESS_0272,17.81508453439234,437.35135022739775,1,Landing,4,Pricing,Hard to use
SESS_0273,7.252095269402952,76.96039829167871,0,Landing,2,Cognitive,Hard to use
SESS_0274,31.58210431337059,298.0174687170282,0,Activation,2,Cognitive,Hard to use
SESS_0275,20.52750333445072,493.1746605070544,1,Landing,9,Pricing,Hard to use
SESS_0276,40.1441683530752,503.22336536343767,0,Signup,3,Pricing,Too expensive
SESS_0277,31.754726066332243,177.06134965000646,0,Landing,2,Cognitive,Hard to use
SESS_0278,13.685103567884147,182.3170671052148,0,Landing,8,Cognitive,Bugs
SESS_0279,10.368428689224984,298.45149131675544,1,Landing,9,Pricing,Hard to use
SESS_0280,29.14815875143966,215.8673840977336,0,Landing,9,Pricing,Hard to use
SESS_0281,32.34911066444921,285.18015181656153,1,Signup,10,None,Bugs
SESS_0282,29.114566873173633,459.2910215482138,0,Paid,10,Technical,N/A
SESS_0283,27.282434095449506,475.6630553469498,0,Landing,5,Pricing,Too expensive
SESS_0284,38.00292934588323,307.1038326979295,0,Landing,6,Cognitive,Too expensive
SESS_0285,16.19619301466178,587.2334647095839,0,Onboarding,7,Cognitive,Hard to use
SESS_0286,21.146522360554012,331.09864306994484,0,Landing,3,Cognitive,Too expensive
SESS_0287,49.15633280303044,85.08573745183774,0,Signup,10,None,N/A
SESS_0288,21.37027672054333,583.2671984547508,0,Signup,2,Cognitive,Hard to use
SESS_0289,49.677738660337475,203.39959172236527,0,Onboarding,2,Pricing,Too expensive
SESS_0290,43.46460033973125,167.5277850817268,0,Signup,5,Cognitive,Hard to use
SESS_0291,34.321545839096444,428.20418063160633,0,Signup,4,Pricing,Hard to use
SESS_0292,20.108650327264524,139.28606678109395,0,Activation,3,Cognitive,Too expensive
SESS_0293,18.35996211219608,319.90096847441805,0,Onboarding,7,Cognitive,Bugs
SESS_0294,45.5799442788243,581.875695003484,0,Signup,7,Pricing,Too expensive
SESS_0295,30.447832004631106,47.96031697041738,0,Activation,4,Cognitive,Hard to use
SESS_0296,40.057473958841264,449.14082747947225,0,Onboarding,8,Technical,Too expensive
SESS_0297,49.66063094931296,127.50330348531716,0,Landing,9,None,Hard to use
SESS_0298,11.247763680728474,275.67115954011314,0,Signup,3,None,Too expensive
SESS_0299,47.37991514490266,138.9380997103056,0,Onboarding,8,Technical,Too expensive
SESS_0300,17.191759324505853,101.18171860011098,1,Onboarding,8,Technical,Found alternative
SESS_0301,15.940578415256354,128.16305778577458,0,Onboarding,1,Technical,Hard to use
SESS_0302,15.80281867432375,135.1978934940264,0,Landing,5,Technical,Found alternative
SESS_0303,41.99030546596477,148.04779590936047,0,Landing,6,Pricing,Found alternative
SESS_0304,21.140623498638274,181.87403469369778,0,Signup,7,Pricing,Hard to use
SESS_0305,19.99288420595213,195.49164925149944,0,Signup,8,Cognitive,N/A
SESS_0306,9.546392224663219,521.272950929617,0,Onboarding,9,Cognitive,Hard to use
SESS_0307,5.4563421958470135,471.8400805814572,1,Signup,10,Cognitive,Hard to use
SESS_0308,20.202944660192475,579.3884396190193,0,Onboarding,2,Pricing,Hard to use
SESS_0309,19.243345148621597,443.93557070279996,0,Landing,4,Cognitive,Too expensive
SESS_0310,42.41972263008191,445.6046219904282,0,Signup,8,Cognitive,Bugs
SESS_0311,16.706599186957934,234.9393796674198,0,Landing,5,Cognitive,N/A
SESS_0312,38.05480822315273,271.63893885674395,0,Onboarding,6,None,Too expensive
SESS_0313,5.151652082518991,466.66720180739577,0,Activation,5,None,Too expensive
SESS_0314,24.64083566500903,68.70539560427098,0,Landing,4,Cognitive,Too expensive
SESS_0315,33.42074131759234,199.58083873049264,1,Paid,4,Cognitive,Too expensive
SESS_0316,49.31582596669905,107.7597244231374,0,Landing,10,Pricing,Found alternative
SESS_0317,37.68901596669337,411.1604786897678,0,Onboarding,3,Pricing,Too expensive
SESS_0318,31.68732511472232,474.81927779352253,0,Signup,3,Pricing,Too expensive
SESS_0319,33.69067080113919,262.51731716990696,0,Landing,4,Pricing,Found alternative
SESS_0320,17.556497769623185,163.310997472363,0,Signup,3,Technical,Hard to use
SESS_0321,16.70284480979952,179.57502314925,0,Signup,1,Technical,Hard to use
SESS_0322,37.53033998784318,516.8289416874234,0,Onboarding,1,None,Too expensive
SESS_0323,40.08556322772761,135.94836242243906,0,Signup,6,Technical,Too expensive
SESS_0324,46.02883501989528,369.2673903969958,1,Landing,10,Pricing,Found alternative
SESS_0325,32.7233274691952,385.5414322573731,1,Onboarding,3,None,N/A
SESS_0326,47.39214501248864,174.12700130883292,0,Activation,9,Cognitive,N/A
SESS_0327,39.82110883346636,507.8811248934505,0,Landing,4,Pricing,Hard to use
SESS_0328,9.705424129295583,551.808742521632,0,Paid,10,Cognitive,Found alternative
SESS_0329,29.632500970284752,211.3046305349034,1,Landing,10,Pricing,Bugs
SESS_0330,36.9719583132329,471.67498411265075,1,Landing,9,Pricing,Too expensive
