user_id,retention_d30,login_frequency,habit_score,plan_type,nps_score
USR_0175,1,9,48,Basic,1
USR_0176,0,8,22,Basic,6
USR_0177,1,9,90,Pro,9
USR_0178,0,16,79,Basic,7
USR_0179,1,9,84,Basic,7
USR_0180,0,13,52,Basic,7
USR_0181,0,6,10,Pro,4
USR_0182,1,1,73,Basic,4
USR_0183,1,3,62,Basic,8
USR_0184,0,6,2,Basic,7
USR_0185,1,1,47,Basic,2
USR_0186,0,19,45,Basic,8
USR_0187,0,18,31,Basic,6
USR_0188,0,2,68,Basic,7
USR_0189,0,19,72,Pro,10
USR_0190,0,16,9,Basic,4
USR_0191,0,9,57,Basic,7
USR_0192,0,18,49,Basic,4
USR_0193,0,5,48,Enterprise,10
USR_0194,1,10,96,Pro,3
USR_0195,1,3,20,Enterprise,5
USR_0196,1,8,31,Basic,7
USR_0197,1,8,89,Basic,4
USR_0198,1,18,19,Basic,2
USR_0199,1,19,99,Pro,9
USR_0200,1,18,62,Basic,5
USR_0201,1,3,87,Basic,6
USR_0202,1,16,11,Basic,4
USR_0203,0,4,22,Basic,6
USR_0204,0,14,89,Enterprise,3
USR_0205,0,14,68,Basic,5
USR_0206,0,8,44,Basic,5
USR_0207,1,14,36,Enterprise,10
USR_0208,1,18,25,Basic,5
USR_0209,1,9,66,Basic,8
USR_0210,0,5,55,Pro,7
USR_0211,0,4,38,Basic,5
USR_0212,1,4,59,Basic,10
USR_0213,0,3,20,Enterprise,2
USR_0214,0,4,40,Pro,9
USR_0215,1,9,25,Basic,8
USR_0216,1,4,6,Basic,2
USR_0217,1,18,65,Basic,10
USR_0218,0,14,83,Basic,7
USR_0219,0,6,7,Basic,2
USR_0220,1,12,15,Basic,6
USR_0221,0,9,55,Pro,9
USR_0222,1,2,1,Basic,4
USR_0223,1,14,14,Basic,8
USR_0224,1,14,31,Basic,1
USR_0225,1,6,68,Basic,8
USR_0226,0,3,18,Pro,10
USR_0227,0,7,18,Pro,7
USR_0228,1,17,74,Pro,3
USR_0229,0,17,47,Basic,7
USR_0230,1,17,9,Basic,7
USR_0231,0,7,78,Basic,8
USR_0232,0,4,33,Basic,7
USR_0233,0,3,93,Pro,5
USR_0234,1,13,34,Basic,6
USR_0235,0,19,19,Basic,7
USR_0236,1,19,26,Basic,10
USR_0237,1,4,25,Pro,5
USR_0238,0,14,41,Basic,4
USR_0239,0,19,94,Basic,9
USR_0240,0,1,15,Enterprise,1
USR_0241,0,8,42,Basic,6
USR_0242,0,4,98,Basic,2
USR_0243,1,7,14,Pro,2
USR_0244,1,4,58,Basic,6
USR_0245,0,19,10,Enterprise,8
USR_0246,1,19,80,Basic,7
USR_0247,1,19,9,Basic,7
USR_0248,1,14,30,Basic,3
USR_0249,1,7,33,Basic,7
USR_0250,0,12,77,Enterprise,4
USR_0251,0,3,67,Basic,9
USR_0252,1,3,63,Basic,6
USR_0253,0,1,7,Pro,6
USR_0254,0,9,83,Basic,8
USR_0255,0,4,17,Basic,9
USR_0256,0,13,23,Basic,7
USR_0257,0,3,36,Basic,3
USR_0258,0,12,29,Enterprise,5
USR_0259,0,17,24,Pro,9
USR_0260,0,4,23,Basic,3
USR_0261,0,1,78,Enterprise,7
USR_0262,0,14,92,Pro,7
USR_0263,1,9,10,Basic,4
USR_0264,0,18,29,Basic,3
USR_0265,1,3,27,Basic,10
USR_0266,0,15,69,Basic,7
USR_0267,0,5,99,Basic,4
USR_0268,0,17,21,Basic,8
USR_0269,1,8,61,Basic,6
USR_0270,0,4,57,Basic,8
USR_0271,0,5,20,Basic,6
USR_0272,1,4,20,Pro,7
USR_0273,1,19,1,Basic,4
USR_0274,0,12,74,Basic,1
USR_0275,0,9,49,Enterprise,3
USR_0276,0,4,67,Pro,7
USR_0277,1,1,54,Basic,7
USR_0278,0,12,43,Basic,5
USR_0279,1,19,54,Basic,1
USR_0280,1,7,45,Basic,5
USR_0281,0,19,62,Basic,8
USR_0282,0,11,26,Pro,4
USR_0283,1,13,35,Basic,8
USR_0284,0,1,99,Basic,3
USR_0285,1,6,43,Basic,10
USR_0286,0,1,11,Pro,3
USR_0287,0,2,2,Pro,4
USR_0288,0,3,60,Pro,7
USR_0289,1,19,85,Basic,10
USR_0290,1,5,3,Basic,6
USR_0291,0,11,36,Basic,9
USR_0292,1,14,65,Basic,9
USR_0293,0,8,4,Basic,5
USR_0294,1,7,15,Pro,3
USR_0295,1,15,32,Basic,1
USR_0296,0,2,48,Basic,7
USR_0297,0,10,72,Pro,6
USR_0298,0,15,56,Basic,7
USR_0299,1,8,36,Basic,8
USR_0300,0,15,90,Enterprise,6
USR_0301,0,15,96,Enterprise,2
USR_0302,1,13,38,Basic,9
USR_0303,0,11,67,Basic,4
USR_0304,0,19,28,Basic,8
USR_0305,0,2,55,Pro,7
USR_0306,0,1,34,Basic,9
USR_0307,0,17,90,Basic,3
USR_0308,0,12,54,Basic,7
USR_0309,0,3,25,Basic,8
USR_0310,0,3,9,Basic,10
USR_0311,0,15,92,Basic,9
USR_0312,1,17,7,Enterprise,1
USR_0313,0,11,76,Pro,3
USR_0314,0,10,16,Basic,3
USR_0315,0,6,88,Basic,4
USR_0316,1,3,27,Enterprise,10
USR_0317,1,1,56,Pro,7
USR_0318,1,16,16,Basic,1
USR_0319,0,3,49,Pro,9
USR_0320,1,9,43,Basic,4
USR_0321,0,15,44,Basic,7
USR_0322,0,14,3,Basic,5
USR_0323,0,19,5,Pro,1
USR_0324,0,9,40,Pro,4
USR_0325,1,15,84,Basic,5
USR_0326,0,12,67,Basic,7
USR_0327,0,1,92,Basic,7
USR_0328,1,11,32,Basic,10
USR_0329,0,7,64,Basic,9
USR_0330,0,19,49,Basic,1
USR_0331,1,5,82,Basic,7
USR_0332,0,4,74,Enterprise,1
USR_0333,1,5,68,Basic,2
USR_0334,0,5,28,Basic,7
USR_0335,0,5,26,Basic,5
USR_0336,1,15,32,Basic,8
USR_0337,0,2,35,Basic,8
USR_0338,1,11,1,Basic,5
USR_0339,0,11,87,Pro,8
USR_0340,1,10,67,Basic,3
USR_0341,0,3,45,Basic,7
USR_0342,0,18,63,Basic,2
USR_0343,1,4,79,Pro,9
USR_0344,0,16,91,Basic,2
USR_0345,1,9,8,Pro,2
USR_0346,0,3,30,Basic,3
USR_0347,1,4,97,Basic,8
USR_0348,1,16,2,Pro,3
USR_0349,0,16,89,Basic,2
USR_0350,1,15,60,Pro,9
USR_0351,0,11,93,Pro,7
USR_0352,0,9,17,Basic,9
USR_0353,0,1,84,Enterprise,10
USR_0354,1,6,85,Basic,3
USR_0355,0,2,79,Basic,5
USR_0356,0,11,53,Basic,7
USR_0357,0,12,89,Basic,5
USR_0358,0,10,84,Basic,7
USR_0359,0,13,88,Basic,5
USR_0360,0,16,26,Basic,10
USR_0361,1,4,48,Pro,9
USR_0362,0,10,51,Enterprise,6
USR_0363,0,4,97,Basic,4
USR_0364,0,10,30,Pro,2
USR_0365,0,9,60,Basic,7
USR_0366,1,8,32,Pro,1
USR_0367,1,12,57,Pro,5
USR_0368,0,13,21,Basic,10
USR_0369,0,2,63,Basic,1
USR_0370,1,10,47,Basic,6
USR_0371,1,7,61,Basic,6
USR_0372,1,16,18,Basic,1
USR_0373,1,5,89,Basic,9
USR_0374,0,18,64,Pro,4
USR_0375,0,5,98,Basic,2
USR_0376,0,2,79,Basic,5
USR_0377,1,19,14,Enterprise,1
USR_0378,0,6,47,Enterprise,4
USR_0379,1,7,20,Basic,1
USR_0380,0,1,18,Enterprise,9
USR_0381,1,14,75,Pro,9
USR_0382,0,3,43,Basic,7
USR_0383,0,1,79,Basic,1
USR_0384,1,15,95,Basic,8
USR_0385,1,8,33,Basic,2
USR_0386,0,15,96,Basic,10
USR_0387,0,10,28,Pro,7
USR_0388,1,12,7,Basic,7
USR_0389,0,6,53,Basic,5
USR_0390,1,15,51,Basic,10
USR_0391,0,10,66,Basic,1
USR_0392,0,17,93,Pro,4
USR_0393,1,13,17,Enterprise,7
USR_0394,0,10,95,Pro,5
USR_0395,0,15,28,Basic,9
USR_0396,0,5,49,Enterprise,4
USR_0397,0,1,19,Basic,4
USR_0398,0,1,75,Basic,10
USR_0399,0,12,82,Basic,8
USR_0400,1,5,87,Basic,9
USR_0401,1,7,63,Basic,8
USR_0402,0,1,4,Basic,8
USR_0403,0,7,8,Basic,7
USR_0404,1,8,82,Pro,4
USR_0405,0,8,34,Basic,8
USR_0406,1,4,73,Basic,1
USR_0407,0,1,10,Basic,10
USR_0408,0,10,70,Basic,6
USR_0409,1,10,85,Enterprise,3
USR_0410,1,6,16,Basic,8
USR_0411,0,13,54,Basic,10
USR_0412,0,7,48,Basic,8
USR_0413,0,8,84,Basic,2
USR_0414,0,1,34,Basic,6
USR_0415,0,10,16,Basic,3
USR_0416,0,19,4,Basic,5
USR_0417,0,11,4,Pro,9
USR_0418,0,8,62,Basic,10
USR_0419,1,16,4,Basic,10
USR_0420,1,7,81,Basic,6
USR_0421,0,6,58,Basic,2
USR_0422,0,13,58,Basic,8
USR_0423,0,15,42,Basic,1
USR_0424,1,14,86,Pro,2
USR_0425,1,5,18,Pro,10
USR_0426,0,7,86,Basic,10
USR_0427,0,13,7,Basic,8
USR_0428,1,9,42,Basic,10
USR_0429,0,15,7,Pro,7
USR_0430,1,17,17,Basic,9
USR_0431,0,8,95,Basic,8
USR_0432,1,18,81,Pro,6
USR_0433,0,11,57,Basic,2
USR_0434,1,14,34,Basic,6
USR_0435,1,11,59,Enterprise,9
USR_0436,0,18,32,Basic,5
USR_0437,0,17,74,Pro,6
USR_0438,1,3,43,Basic,9
USR_0439,1,13,82,Pro,10
USR_0440,0,16,8,Pro,7
USR_0441,1,18,87,Basic,10
USR_0442,1,5,62,Basic,9
USR_0443,0,12,94,Pro,2
USR_0444,1,4,46,Basic,7
USR_0445,1,19,59,Enterprise,9
USR_0446,0,9,86,Basic,3
USR_0447,0,14,23,Basic,7
USR_0448,0,16,21,Pro,8
USR_0449,1,2,86,Pro,1
USR_0450,0,8,72,Basic,3
USR_0451,0,12,75,Basic,3
USR_0452,1,1,7,Enterprise,1
USR_0453,0,15,92,Enterprise,10
USR_0454,0,13,86,Basic,5
USR_0455,1,11,24,Basic,3
USR_0456,1,5,44,Basic,6
USR_0457,0,14,10,Basic,7
USR_0458,1,16,98,Enterprise,4
USR_0459,1,12,7,Pro,8
USR_0460,1,18,99,Basic,6
USR_0461,0,16,26,Basic,6
USR_0462,0,7,52,Basic,7
USR_0463,0,9,28,Pro,5
USR_0464,0,9,7,Pro,6
USR_0465,1,5,70,Basic,4
USR_0466,0,4,45,Basic,10
USR_0467,0,16,96,Basic,4
USR_0468,1,17,67,Basic,10
USR_0469,0,1,75,Basic,10
USR_0470,0,3,19,Basic,8
USR_0471,0,3,11,Pro,1
USR_0472,0,14,85,Basic,9
USR_0473,1,18,23,Basic,5
USR_0474,1,4,87,Pro,10
USR_0475,1,13,30,Basic,1
USR_0476,1,11,47,Pro,8
USR_0477,0,15,1,Basic,4
USR_0478,0,8,25,Basic,8
USR_0479,0,5,71,Basic,9
USR_0480,1,10,37,Pro,3
USR_0481,0,17,21,Basic,2
USR_0482,1,7,50,Basic,1
USR_0483,1,16,91,Pro,8
USR_0484,0,3,55,Basic,9
USR_0485,0,6,29,Pro,2
USR_0486,0,5,79,Basic,9
USR_0487,0,19,23,Basic,6
USR_0488,1,8,98,Pro,3
USR_0489,1,6,17,Basic,1
USR_0490,1,19,10,Basic,4
USR_0491,0,14,79,Basic,7
USR_0492,0,6,36,Basic,1
USR_0493,0,10,77,Basic,2
USR_0494,1,10,44,Basic,9
USR_0495,1,1,66,Basic,6
USR_0496,0,3,54,Basic,10
USR_0497,1,10,8,Basic,10
USR_0498,1,6,50,Pro,2
USR_0499,0,14,48,Basic,6
USR_0500,0,18,15,Basic,7
USR_0501,0,12,2,Basic,6
USR_0502,0,5,19,Enterprise,8
USR_0503,0,4,43,Basic,4
USR_0504,0,4,36,Basic,5
USR_0505,1,9,79,Basic,7
USR_0506,0,11,48,Basic,10
USR_0507,0,4,91,Pro,8
USR_0508,0,16,2,Basic,7
USR_0509,0,18,29,Enterprise,3
USR_0510,0,7,59,Pro,8
USR_0511,0,14,79,Enterprise,3
USR_0512,1,11,46,Basic,3
USR_0513,1,6,36,Basic,8
USR_0514,0,18,80,Basic,8
USR_0515,0,4,90,Basic,6
USR_0516,0,17,29,Basic,1
USR_0517,0,2,56,Pro,4
USR_0518,0,17,20,Basic,1
USR_0519,0,19,50,Enterprise,4
USR_0520,0,4,63,Basic,3
USR_0521,1,9,76,Basic,9
USR_0522,0,4,93,Pro,9
USR_0523,0,10,56,Basic,4
USR_0524,1,19,50,Basic,7
USR_0525,0,3,42,Basic,3
USR_0526,0,15,1,Pro,5
USR_0527,0,3,91,Basic,7
USR_0528,1,14,87,Basic,6
USR_0529,0,9,18,Enterprise,1
USR_0530,0,5,89,Basic,8
USR_0531,0,19,26,Pro,7
USR_0532,1,1,41,Pro,5
USR_0533,1,8,34,Basic,5
USR_0534,1,13,99,Pro,6
USR_0535,0,15,5,Basic,2
USR_0536,1,17,56,Pro,9
USR_0537,0,19,40,Basic,1
USR_0538,0,12,3,Pro,7
USR_0539,1,3,42,Pro,3
USR_0540,0,15,91,Basic,8
USR_0541,0,1,65,Basic,2
USR_0542,1,3,33,Pro,2
USR_0543,0,3,14,Basic,2
USR_0544,1,4,71,Basic,8
USR_0545,1,11,33,Basic,4
USR_0546,0,3,37,Basic,6
USR_0547,1,5,45,Pro,2
USR_0548,0,9,62,Basic,5
USR_0549,0,8,69,Pro,9
USR_0550,0,17,4,Basic,5
USR_0551,1,11,25,Basic,8
USR_0552,0,18,82,Pro,10
USR_0553,1,9,94,Basic,3
USR_0554,0,4,20,Basic,3
USR_0555,0,12,51,Enterprise,2
USR_0556,0,13,1,Basic,4
USR_0557,0,1,29,Basic,6
USR_0558,0,16,2,Pro,3
USR_0559,0,9,93,Basic,6
USR_0560,1,4,88,Basic,8
USR_0561,0,19,51,Basic,9
USR_0562,1,11,93,Basic,6
USR_0563,0,9,20,Basic,6
USR_0564,0,8,90,Basic,2
USR_0565,1,9,9,Enterprise,8
USR_0566,1,14,33,Enterprise,1
USR_0567,0,2,9,Basic,7
USR_0568,0,10,17,Basic,10
USR_0569,1,1,30,Basic,8
USR_0570,0,15,63,Basic,9
USR_0571,1,14,95,Basic,5
USR_0572,0,11,26,Basic,7
USR_0573,0,17,13,Basic,7
USR_0574,1,12,68,Basic,5
USR_0575,0,6,1,Pro,3
USR_0576,0,9,70,Basic,6
USR_0577,0,8,40,Basic,9
USR_0578,1,18,56,Basic,2
USR_0579,0,9,59,Basic,6
USR_0580,0,8,55,Basic,2
USR_0581,0,7,47,Basic,10
USR_0582,1,6,78,Pro,7
USR_0583,1,12,10,Basic,10
USR_0584,1,16,3,Enterprise,4
USR_0585,1,16,52,Basic,6
USR_0586,0,15,29,Basic,7
USR_0587,0,9,48,Basic,10
USR_0588,0,17,55,Enterprise,1
USR_0589,1,16,78,Basic,10
USR_0590,0,17,44,Enterprise,7
USR_0591,1,3,34,Basic,8
USR_0592,1,15,84,Basic,6
USR_0593,0,3,71,Basic,5
USR_0594,1,15,75,Basic,3
USR_0595,0,18,74,Basic,3
USR_0596,0,4,7,Pro,4
USR_0597,1,4,50,Basic,8
USR_0598,1,14,23,Basic,10
USR_0599,0,7,69,Basic,5
USR_0600,0,8,2,Pro,10
USR_0601,0,15,73,Enterprise,4
USR_0602,0,8,45,Enterprise,1
USR_0603,0,13,95,Basic,1
USR_0604,1,13,16,Basic,10
USR_0605,1,12,52,Basic,4
USR_0606,0,1,74,Basic,6
USR_0607,0,13,84,Basic,2
USR_0608,0,10,75,Basic,7
USR_0609,0,5,90,Enterprise,9
USR_0610,1,12,71,Basic,8
USR_0611,0,17,70,Basic,5
USR_0612,0,7,12,Basic,6
USR_0613,1,16,48,Basic,8
USR_0614,0,10,29,Basic,2
USR_0615,0,17,45,Pro,6
USR_0616,0,7,54,Basic,10
USR_0617,0,18,19,Basic,5
USR_0618,1,8,86,Basic,7
USR_0619,1,5,19,Basic,2
USR_0620,0,7,92,Basic,4
USR_0621,0,18,4,Basic,9
USR_0622,0,2,14,Enterprise,8
USR_0623,0,8,51,Pro,4
USR_0624,1,8,77,Pro,10
USR_0625,0,12,1,Basic,5
USR_0626,0,11,73,Basic,7
USR_0627,0,6,9,Basic,1
USR_0628,0,2,87,Enterprise,6
USR_0629,0,18,34,Basic,2
USR_0630,0,11,45,Pro,6
USR_0631,0,10,23,Basic,3
USR_0632,0,17,10,Basic,1
USR_0633,0,9,68,Basic,4
USR_0634,1,5,6,Basic,8
USR_0635,0,17,61,Basic,7
USR_0636,0,2,97,Basic,8
USR_0637,1,4,4,Basic,2
USR_0638,0,12,54,Basic,7
USR_0639,1,19,67,Enterprise,3
USR_0640,0,10,76,Basic,8
USR_0641,0,17,21,Basic,9
USR_0642,0,15,33,Basic,3
USR_0643,1,16,94,Enterprise,9
USR_0644,1,1,18,Basic,8
USR_0645,0,3,35,Basic,1
USR_0646,0,7,96,Basic,5
USR_0647,0,4,34,Basic,9
USR_0648,1,6,85,Enterprise,7
USR_0649,0,13,55,Basic,4
USR_0650,0,10,91,Basic,9
USR_0651,0,14,26,Basic,10
USR_0652,0,12,88,Basic,6
USR_0653,0,15,57,Basic,8
USR_0654,1,10,5,Basic,2
USR_0655,0,9,22,Basic,10
USR_0656,1,10,8,Basic,2
USR_0657,1,19,31,Pro,4
USR_0658,1,11,71,Basic,7
USR_0659,0,11,50,Basic,3
USR_0660,0,11,82,Basic,3
USR_0661,1,17,32,Pro,5
USR_0662,0,7,58,Basic,2
USR_0663,1,19,55,Pro,4
USR_0664,0,7,84,Basic,1
USR_0665,0,10,28,Enterprise,3
USR_0666,1,16,25,Basic,3
USR_0667,0,15,42,Basic,5
USR_0668,0,8,63,Enterprise,1
USR_0669,0,8,40,Enterprise,6
USR_0670,0,8,65,Enterprise,8
USR_0671,0,16,91,Enterprise,9
USR_0672,0,16,98,Basic,5
USR_0673,0,13,67,Basic,4
USR_0674,0,6,88,Basic,3
USR_0675,1,5,38,Basic,2
USR_0676,0,5,52,Basic,5
USR_0677,1,19,71,Basic,2
USR_0678,0,14,75,Basic,9
USR_0679,1,15,74,Pro,4
USR_0680,1,7,97,Basic,9
USR_0681,0,4,68,Pro,8
USR_0682,1,14,27,Basic,3
USR_0683,1,3,16,Basic,8
USR_0684,0,17,25,Basic,9
USR_0685,0,13,94,Pro,1
USR_0686,1,3,53,Basic,4
USR_0687,0,6,91,Basic,4
USR_0688,0,13,49,Enterprise,6
USR_0689,0,16,60,Basic,1
USR_0690,1,7,36,Basic,8
USR_0691,0,5,81,Enterprise,3
USR_0692,1,2,47,Basic,4
USR_0693,0,6,81,Basic,3
USR_0694,1,3,47,Basic,6
USR_0695,0,14,34,Enterprise,1
USR_0696,1,2,48,Basic,2
USR_0697,0,12,86,Enterprise,3
USR_0698,0,7,27,Enterprise,2
USR_0699,0,1,63,Basic,3
USR_0700,1,2,44,Basic,3
USR_0701,0,3,23,Basic,7
USR_0702,0,9,94,Basic,8
USR_0703,1,16,4,Basic,10
USR_0704,0,15,3,Basic,7
USR_0705,1,11,45,Basic,3
USR_0706,1,17,8,Basic,8
USR_0707,1,6,33,Basic,7
USR_0708,0,1,35,Basic,2
USR_0709,1,11,93,Basic,2
USR_0710,1,7,56,Pro,1
USR_0711,1,12,60,Basic,9
USR_0712,0,15,34,Basic,10
USR_0713,0,12,81,Basic,6
USR_0714,1,5,35,Basic,2
USR_0715,0,9,99,Basic,5
USR_0716,1,10,27,Enterprise,6
USR_0717,0,4,88,Basic,9
USR_0718,1,3,35,Basic,3
USR_0719,0,4,99,Basic,7
USR_0720,1,13,71,Basic,10
USR_0721,0,8,23,Basic,7
USR_0722,0,15,24,Basic,6
USR_0723,1,16,59,Basic,9
USR_0724,0,9,1,Basic,5
USR_0725,0,8,44,Basic,7
USR_0726,0,2,18,Basic,5
USR_0727,0,13,95,Basic,6
USR_0728,1,5,35,Basic,1
USR_0729,1,6,57,Enterprise,6
USR_0730,0,5,5,Basic,10
USR_0731,1,14,3,Basic,4
USR_0732,1,3,50,Basic,2
USR_0733,0,3,75,Basic,8
USR_0734,1,7,94,Basic,10
USR_0735,1,18,95,Basic,2
USR_0736,1,14,40,Enterprise,2
USR_0737,0,6,56,Basic,9
USR_0738,1,4,4,Pro,8
USR_0739,0,11,37,Basic,8
USR_0740,0,7,61,Enterprise,2
USR_0741,0,14,27,Enterprise,3
USR_0742,0,8,25,Basic,4
USR_0743,0,19,74,Basic,3
USR_0744,0,1,79,Basic,7
USR_0745,0,4,47,Basic,2
USR_0746,0,3,78,Pro,6
USR_0747,0,5,48,Basic,8
USR_0748,1,4,93,Pro,3
USR_0749,1,2,64,Basic,9
USR_0750,0,17,54,Basic,9
USR_0751,1,1,4,Basic,3
USR_0752,0,18,2,Basic,1
USR_0753,1,9,56,Pro,5
USR_0754,1,2,37,Basic,3
USR_0755,0,3,63,Basic,10
USR_0756,1,10,65,Basic,9
USR_0757,0,10,18,Basic,8
USR_0758,1,9,16,Basic,5
USR_0759,0,9,99,Basic,7
USR_0760,0,11,85,Basic,7
USR_0761,0,2,32,Basic,2
USR_0762,0,10,85,Basic,1
USR_0763,1,14,56,Basic,1
USR_0764,1,5,64,Basic,10
USR_0765,1,5,69,Basic,6
